x1,x2,x3,z
0.17,0.63,0.19,0.77
0.10,0.63,0.19,0.88
0.11,0.60,0.18,0.82
0.15,0.58,0.18,0.54
0.19,0.60,0.17,0.52
0.07,0.58,0.17,0.62
0.01,0.60,0.17,0.68
0.23,0.63,0.29,0.65
0.11,0.63,0.29,0.70
0.10,0.60,0.19,0.66
0.10,0.62,0.19,0.56
0.17,0.66,0.21,0.57
0.11,0.65,0.30,0.66
0.19,0.65,0.30,0.59
0.26,1.48,0.47,0.78
0.30,1.00,0.45,0.71
0.45,1.00,0.45,0.72
0.60,1.00,0.45,0.74
0.32,0.67,0.22,1.17
0.55,0.49,0.20,1.30
0.76,0.49,0.20,1.24
0.35,1.05,0.29,0.44
0.09,0.47,0.22,0.64
0.33,0.47,0.22,0.57
0.49,0.47,0.22,0.57
0.57,0.47,0.22,0.56
0.65,0.47,0.22,0.56
0.72,0.47,0.22,0.56
0.80,0.47,0.22,0.56
0.88,0.47,0.22,0.61
0.92,0.47,0.22,0.66
0.17,1.50,0.37,0.95
0.24,0.48,0.18,0.96
