x1,x2,x3,x4,x5,z
0.87,0.09,0.23,0.47,0.15,0.98
0.68,0.03,0.14,0.59,0.18,0.71
0.68,0.03,0.14,0.59,0.18,0.62
0.68,0.09,0.15,0.60,0.18,0.66
0.68,0.27,0.15,0.63,0.19,0.80
0.68,0.56,0.15,0.60,0.19,0.76
0.68,0.53,0.15,0.61,0.19,0.74
0.68,0.53,0.15,0.60,0.18,0.82
0.60,0.05,0.28,0.60,0.17,0.71
0.60,0.11,0.28,0.60,0.17,0.71
0.60,0.58,0.28,0.60,0.17,0.62
0.60,0.46,0.27,0.59,0.17,0.62
0.60,0.52,0.28,0.60,0.17,0.51
0.60,0.63,0.28,0.61,0.18,0.45
0.75,0.13,0.11,0.64,0.20,0.52
0.75,0.19,0.11,0.64,0.20,0.52
0.75,0.42,0.11,0.64,0.20,0.56
0.75,0.60,0.11,0.64,0.29,0.70
0.75,0.44,0.11,0.64,0.29,0.85
0.75,0.21,0.11,0.63,0.29,0.49
0.94,0.36,0.11,0.64,0.20,0.58
0.94,0.11,0.11,0.64,0.20,0.44
0.94,0.31,0.12,0.65,0.29,0.73
0.75,0.39,0.12,0.65,0.30,0.73
0.75,0.24,0.11,0.64,0.30,0.90
0.75,0.40,0.11,0.64,0.21,0.82
0.75,0.22,0.11,0.63,0.20,0.55
0.94,0.37,0.12,0.65,0.21,0.63
0.94,0.21,0.11,0.64,0.21,0.60
0.94,0.54,0.11,0.64,0.21,0.63
0.94,0.24,0.11,0.64,0.30,0.65
0.94,0.07,0.11,0.64,0.30,0.65
1.03,0.42,0.49,1.48,0.47,0.72
1.03,0.08,0.49,1.48,0.47,1.03
1.03,0.88,0.49,1.48,0.47,0.97
1.03,0.59,0.49,1.48,0.47,0.92
1.03,0.23,0.49,1.48,0.47,0.76
1.03,0.00,0.49,1.48,0.47,0.69
1.03,0.35,0.49,1.48,0.47,0.86
0.13,0.23,0.67,0.83,0.41,0.63
0.18,0.30,0.46,0.63,0.32,0.62
0.18,0.55,0.46,0.63,0.32,0.64
1.40,0.22,0.28,0.74,0.20,0.83
1.40,0.33,0.28,0.74,0.20,0.65
0.87,0.06,0.13,0.32,0.02,0.70
0.87,0.27,0.13,0.32,0.02,0.95
0.87,0.48,0.13,0.32,0.02,0.93
1.83,0.23,0.25,0.51,0.23,0.78
1.83,0.33,0.25,0.51,0.23,0.81
1.83,0.58,0.25,0.51,0.23,0.64
0.21,0.22,0.70,1.00,0.45,0.79
0.41,0.07,0.55,1.00,0.45,0.75
0.41,0.22,0.55,1.00,0.45,0.73
0.41,0.37,0.55,1.00,0.45,0.67
0.41,0.04,0.55,1.00,0.45,0.61
0.17,0.34,0.49,0.67,0.22,1.07
0.17,0.00,0.49,0.67,0.22,1.30
0.75,0.22,0.40,1.00,0.45,0.70
1.02,0.66,0.49,1.48,0.47,0.98
1.02,0.33,0.49,1.48,0.47,0.91
1.02,0.08,0.49,1.48,0.47,1.02
0.50,0.17,0.59,1.19,0.32,0.35
0.50,0.17,0.53,1.07,0.29,0.44
0.50,0.14,0.30,0.60,0.16,0.44
0.50,0.16,0.30,0.60,0.16,0.48
0.50,0.26,0.38,0.75,0.20,0.44
0.40,0.45,0.30,0.58,0.15,0.82
0.40,0.23,0.30,0.58,0.15,0.80
0.40,0.07,0.30,0.58,0.15,0.84
0.00,0.45,0.05,0.20,0.07,0.97
0.00,0.11,0.05,0.20,0.07,0.98
1.06,0.29,0.48,1.50,0.37,1.02
1.06,0.38,0.48,1.50,0.37,0.80
0.87,0.24,0.12,0.48,0.18,1.08
0.87,0.00,0.12,0.48,0.18,1.21
0.33,0.24,0.12,0.20,0.07,1.46
0.39,0.23,0.31,0.58,0.16,0.62
0.39,0.07,0.31,0.58,0.16,0.84
0.39,0.23,0.31,0.58,0.16,0.72
0.39,0.07,0.31,0.58,0.16,0.94
0.39,0.45,0.30,0.56,0.15,0.81
0.39,0.45,0.30,0.57,0.15,0.63
