x1,x2,x3,x4,x5,x6,x7,z
0.31,0.00,0.83,1.00,0.17,0.63,0.00,1.02
0.31,0.00,0.90,1.00,0.10,0.63,0.00,1.04
0.31,0.00,0.89,1.00,0.11,0.60,0.00,0.99
0.31,0.00,0.85,1.00,0.15,0.58,0.00,0.69
0.29,0.00,0.81,1.00,0.19,0.60,0.00,0.72
0.29,0.00,0.93,1.00,0.07,0.58,0.00,0.71
0.29,0.00,0.99,1.00,0.01,0.60,0.00,0.70
0.45,0.00,0.77,1.00,0.23,0.63,0.00,0.79
0.45,0.00,0.89,1.00,0.11,0.63,0.00,0.78
0.31,0.00,0.90,1.00,0.10,0.60,0.00,0.79
0.31,0.00,0.90,1.00,0.10,0.62,0.00,0.67
0.32,0.00,0.83,1.00,0.17,0.66,0.00,0.72
0.46,0.00,0.89,1.00,0.11,0.65,0.00,0.73
0.46,0.00,0.81,1.00,0.19,0.65,0.00,0.70
0.32,0.00,0.74,1.00,0.26,1.48,0.00,1.01
0.45,0.00,0.70,1.00,0.30,1.00,0.00,0.87
0.45,0.00,0.55,1.00,0.45,1.00,0.00,0.97
0.45,0.00,0.40,1.00,0.60,1.00,0.00,1.07
0.33,0.00,0.68,1.00,0.32,0.67,0.00,1.68
0.40,0.00,0.45,1.00,0.55,0.49,0.00,1.99
0.40,0.00,0.24,1.00,0.76,0.49,0.00,2.13
0.27,0.00,0.65,1.00,0.35,1.05,0.00,0.70
0.46,0.00,0.91,1.00,0.09,0.47,0.00,0.70
0.46,0.00,0.67,1.00,0.33,0.47,0.00,0.74
0.46,0.00,0.51,1.00,0.49,0.47,0.00,0.83
0.46,0.00,0.43,1.00,0.57,0.47,0.00,0.84
0.46,0.00,0.35,1.00,0.65,0.47,0.00,0.88
0.46,0.00,0.28,1.00,0.72,0.47,0.00,0.93
0.46,0.00,0.20,1.00,0.80,0.47,0.00,0.97
0.46,0.00,0.12,1.00,0.88,0.47,0.00,1.09
0.46,0.00,0.08,1.00,0.92,0.47,0.00,1.20
0.25,0.00,0.83,1.00,0.17,1.50,0.00,1.24
0.37,0.00,0.76,1.00,0.24,0.48,0.00,1.29
0.32,0.49,0.09,0.20,0.11,0.47,0.87,0.45
0.31,0.24,0.03,0.24,0.21,0.59,0.68,0.26
0.31,0.24,0.03,0.24,0.21,0.59,0.68,0.22
0.31,0.24,0.09,0.30,0.21,0.60,0.68,0.24
0.31,0.24,0.27,0.50,0.23,0.63,0.68,0.29
0.31,0.24,0.56,0.78,0.21,0.60,0.68,0.28
0.31,0.24,0.53,0.75,0.22,0.61,0.68,0.28
0.31,0.24,0.53,0.74,0.21,0.60,0.68,0.31
0.29,0.47,0.05,0.34,0.28,0.60,0.60,0.35
0.29,0.47,0.11,0.38,0.28,0.60,0.60,0.35
0.29,0.47,0.58,0.85,0.28,0.60,0.60,0.27
0.29,0.47,0.46,0.73,0.27,0.59,0.60,0.27
0.29,0.47,0.52,0.80,0.28,0.60,0.60,0.22
0.29,0.47,0.63,0.91,0.28,0.61,0.60,0.19
0.31,0.18,0.13,0.36,0.24,0.64,0.75,0.18
0.31,0.18,0.19,0.43,0.24,0.64,0.75,0.18
0.31,0.18,0.42,0.66,0.24,0.64,0.75,0.21
0.45,0.18,0.60,0.83,0.23,0.64,0.75,0.33
0.45,0.18,0.44,0.68,0.24,0.64,0.75,0.38
0.45,0.18,0.21,0.44,0.23,0.63,0.75,0.20
0.31,0.18,0.36,0.53,0.16,0.64,0.94,0.19
0.31,0.18,0.11,0.27,0.16,0.64,0.94,0.13
0.45,0.18,0.31,0.47,0.17,0.65,0.94,0.28
0.46,0.18,0.39,0.63,0.24,0.65,0.75,0.33
0.46,0.18,0.24,0.48,0.24,0.64,0.75,0.38
0.32,0.18,0.40,0.64,0.24,0.64,0.75,0.31
0.32,0.18,0.22,0.45,0.23,0.63,0.75,0.19
0.32,0.18,0.37,0.54,0.17,0.65,0.94,0.21
0.32,0.18,0.21,0.38,0.16,0.64,0.94,0.19
0.32,0.18,0.54,0.71,0.16,0.64,0.94,0.22
0.46,0.18,0.24,0.40,0.16,0.64,0.94,0.25
0.46,0.18,0.07,0.23,0.16,0.64,0.94,0.23
0.32,0.33,0.42,0.92,0.50,1.48,1.03,0.36
0.32,0.33,0.08,0.58,0.50,1.48,1.03,0.51
0.32,0.33,0.88,0.89,0.01,1.48,1.03,0.32
0.32,0.33,0.59,0.60,0.01,1.48,1.03,0.30
0.32,0.33,0.23,0.24,0.01,1.48,1.03,0.25
0.32,0.33,0.00,0.01,0.01,1.48,1.03,0.23
0.32,0.33,0.35,0.36,0.01,1.48,1.03,0.28
0.49,0.80,0.23,0.35,0.13,0.83,0.13,0.39
0.51,0.73,0.30,0.43,0.13,0.63,0.18,0.37
0.51,0.73,0.55,0.67,0.13,0.63,0.18,0.36
0.27,0.38,0.22,0.68,0.46,0.74,1.40,0.40
0.27,0.38,0.33,0.79,0.46,0.74,1.40,0.32
0.07,0.39,0.06,0.21,0.15,0.32,0.87,0.27
0.07,0.39,0.27,0.42,0.15,0.32,0.87,0.32
0.07,0.39,0.48,0.63,0.15,0.32,0.87,0.27
0.45,0.49,0.23,0.53,0.31,0.51,1.83,0.43
0.45,0.49,0.33,0.63,0.31,0.51,1.83,0.44
0.45,0.49,0.58,0.89,0.31,0.51,1.83,0.34
0.45,0.70,0.22,0.67,0.45,1.00,0.21,0.51
0.45,0.55,0.07,0.67,0.60,1.00,0.41,0.50
0.45,0.55,0.22,0.67,0.45,1.00,0.41,0.45
0.45,0.55,0.37,0.67,0.30,1.00,0.41,0.38
0.45,0.55,0.04,0.34,0.30,1.00,0.41,0.36
0.33,0.74,0.34,0.67,0.32,0.67,0.17,0.60
0.33,0.74,0.00,0.32,0.32,0.67,0.17,0.83
0.45,0.40,0.22,0.67,0.45,1.00,0.75,0.41
0.32,0.33,0.66,0.91,0.25,1.48,1.02,0.41
0.32,0.33,0.33,0.58,0.25,1.48,1.02,0.38
0.32,0.33,0.08,0.33,0.25,1.48,1.02,0.42
0.27,0.50,0.17,0.57,0.40,1.19,0.50,0.15
0.27,0.50,0.17,0.53,0.36,1.07,0.50,0.19
0.27,0.50,0.14,0.34,0.20,0.60,0.50,0.19
0.27,0.50,0.16,0.36,0.20,0.60,0.50,0.21
0.27,0.50,0.26,0.51,0.25,0.75,0.50,0.19
0.27,0.53,0.45,0.69,0.24,0.58,0.40,0.36
