x1,x2,x3,x4,z
0.68,0.00,0.16,0.23,0.35
0.68,0.50,0.14,0.21,0.69
0.68,0.06,0.15,0.21,0.31
0.68,0.21,0.15,0.22,0.70
0.68,0.24,0.15,0.22,0.60
0.68,0.24,0.15,0.22,0.46
0.68,0.38,0.15,0.21,0.60
0.68,0.41,0.15,0.22,0.63
0.68,0.71,0.14,0.21,0.67
0.68,0.82,0.15,0.21,0.95
0.60,0.50,0.29,0.29,0.82
0.60,0.46,0.28,0.28,0.90
0.60,0.63,0.28,0.28,0.90
0.60,0.75,0.27,0.27,0.76
0.60,0.79,0.28,0.28,0.76
0.75,0.36,0.11,0.24,0.32
0.75,0.03,0.11,0.24,0.05
0.75,0.28,0.11,0.23,0.38
0.94,0.33,0.11,0.16,0.40
0.94,0.33,0.11,0.16,0.38
0.94,0.34,0.11,0.16,0.49
0.94,0.31,0.11,0.16,0.43
0.94,0.35,0.11,0.16,0.44
0.94,0.25,0.11,0.16,0.39
0.94,0.39,0.11,0.16,0.30
1.03,0.33,0.49,0.50,1.10
1.03,0.00,0.49,0.50,0.83
0.13,0.00,0.67,0.13,0.81
0.13,0.14,0.67,0.13,0.75
1.40,0.35,0.28,0.46,0.44
1.40,1.21,0.28,0.46,0.91
0.87,0.32,0.13,0.15,1.01
1.83,0.03,0.25,0.31,0.43
1.83,0.20,0.25,0.31,0.55
1.83,0.48,0.25,0.31,0.71
1.83,0.90,0.25,0.31,0.64
1.83,0.74,0.25,0.31,0.79
0.09,0.46,0.85,0.60,0.84
0.09,0.06,0.85,0.60,0.89
0.09,0.00,0.85,0.60,0.91
0.09,0.46,0.85,0.45,0.79
0.09,0.07,0.85,0.45,0.76
0.09,0.00,0.85,0.45,1.11
0.21,0.52,0.70,0.45,0.79
0.21,0.07,0.70,0.45,0.74
0.21,0.00,0.70,0.45,1.06
0.41,0.52,0.55,0.60,0.69
0.41,0.28,0.55,0.60,0.94
0.41,0.00,0.55,0.60,0.43
0.41,0.30,0.55,0.45,0.78
0.41,0.08,0.55,0.45,0.48
0.41,0.00,0.55,0.45,0.45
0.41,0.32,0.55,0.30,1.04
0.41,0.09,0.55,0.30,0.88
0.17,0.38,0.49,0.32,1.73
0.17,0.00,0.49,0.32,1.22
0.75,0.59,0.40,0.45,0.46
0.75,0.34,0.40,0.45,0.49
0.75,0.00,0.40,0.45,0.01
1.02,0.48,0.49,0.50,1.35
1.02,0.39,0.49,0.25,1.23
1.02,0.00,0.49,0.25,1.12
0.20,2.70,0.49,1.07,1.45
0.20,2.50,0.49,1.25,1.41
0.20,2.27,0.49,1.50,1.15
0.17,0.39,0.49,0.32,1.36
0.50,0.00,0.57,0.38,0.37
0.50,0.51,0.56,0.37,0.45
0.50,0.00,0.30,0.20,0.33
0.50,0.00,1.11,0.74,0.48
0.50,0.00,1.20,0.80,0.69
0.50,0.00,1.09,0.73,0.78
0.50,0.00,0.80,0.53,0.49
0.50,0.00,0.67,0.44,0.35
0.50,0.00,0.57,0.38,0.56
0.50,0.00,0.71,0.47,0.64
0.50,0.00,2.14,1.43,0.38
0.50,0.00,1.03,0.69,0.78
0.50,0.00,0.90,0.60,0.60
0.50,0.00,1.09,0.73,1.03
0.50,0.00,1.13,0.75,0.78
0.50,0.00,0.56,0.37,1.01
0.00,2.56,0.47,1.00,0.72
0.00,2.52,0.47,1.04,0.75
0.00,2.48,0.47,1.08,0.76
0.00,2.43,0.47,1.12,0.77
0.00,2.36,0.47,1.20,0.75
0.00,2.32,0.47,1.24,0.75
0.00,2.28,0.47,1.28,0.79
0.00,2.25,0.47,1.31,0.75
0.00,2.22,0.47,1.35,0.80
0.00,2.18,0.47,1.39,0.73
0.00,2.12,0.47,1.47,0.67
0.00,2.03,0.47,1.59,0.67
0.40,0.73,0.30,0.24,0.85
0.40,0.36,0.30,0.24,1.05
0.40,0.00,0.30,0.24,1.14
1.67,0.00,0.05,0.10,0.41
0.00,1.39,0.05,0.10,1.45
0.00,1.02,0.05,0.10,1.73
0.00,0.00,0.05,0.10,1.63
1.06,0.00,0.48,0.50,1.05
0.87,0.58,0.12,0.24,1.46
0.87,0.00,0.12,0.24,0.88
0.33,0.87,0.12,0.24,1.88
