x1,x2,x3,x4,x5,x6,x7,z
0.31,0.00,0.83,1.00,0.17,0.63,0.00,1.02
0.31,0.00,0.90,1.00,0.10,0.63,0.00,1.04
0.31,0.00,0.89,1.00,0.11,0.60,0.00,0.99
0.31,0.00,0.85,1.00,0.15,0.58,0.00,0.69
0.29,0.00,0.81,1.00,0.19,0.60,0.00,0.72
0.29,0.00,0.93,1.00,0.07,0.58,0.00,0.71
0.29,0.00,0.99,1.00,0.01,0.60,0.00,0.70
0.45,0.00,0.77,1.00,0.23,0.63,0.00,0.79
0.45,0.00,0.89,1.00,0.11,0.63,0.00,0.78
0.31,0.00,0.90,1.00,0.10,0.60,0.00,0.79
0.31,0.00,0.90,1.00,0.10,0.62,0.00,0.67
0.32,0.00,0.83,1.00,0.17,0.66,0.00,0.72
0.46,0.00,0.89,1.00,0.11,0.65,0.00,0.73
0.46,0.00,0.81,1.00,0.19,0.65,0.00,0.70
0.32,0.00,0.74,1.00,0.26,1.48,0.00,1.01
0.45,0.00,0.70,1.00,0.30,1.00,0.00,0.87
0.45,0.00,0.55,1.00,0.45,1.00,0.00,0.97
0.45,0.00,0.40,1.00,0.60,1.00,0.00,1.07
0.33,0.00,0.68,1.00,0.32,0.67,0.00,1.68
0.40,0.00,0.45,1.00,0.55,0.49,0.00,1.99
0.40,0.00,0.24,1.00,0.76,0.49,0.00,2.13
0.27,0.00,0.65,1.00,0.35,1.05,0.00,0.70
0.46,0.00,0.91,1.00,0.09,0.47,0.00,0.70
0.46,0.00,0.67,1.00,0.33,0.47,0.00,0.74
0.46,0.00,0.51,1.00,0.49,0.47,0.00,0.83
0.46,0.00,0.43,1.00,0.57,0.47,0.00,0.84
0.46,0.00,0.35,1.00,0.65,0.47,0.00,0.88
0.46,0.00,0.28,1.00,0.72,0.47,0.00,0.93
0.46,0.00,0.20,1.00,0.80,0.47,0.00,0.97
0.46,0.00,0.12,1.00,0.88,0.47,0.00,1.09
0.46,0.00,0.08,1.00,0.92,0.47,0.00,1.20
0.25,0.00,0.83,1.00,0.17,1.50,0.00,1.24
0.37,0.00,0.76,1.00,0.24,0.48,0.00,1.29
